<Trait>	PC1	PC2	PC3	PC4
CML238	20.1810490344543	-15.2399843103425	-8.99139855002128	26.6781768148758
CML247	25.6143852712876	-12.6087381698519	-7.69035978380997	23.2230079925742
CML254	43.2462815401778	-2.46384816977616	-9.991443622911	22.4149065624972
CML258	62.8828356101544	12.4470296345061	-8.89773438208328	9.40088874824989
CML261	34.9307310447992	-5.3082791774797	-23.6812625522925	15.1947514959965
CML264	49.3459071064108	-0.874911125931687	4.19336729668356	24.1602104156523
CML277	39.1955283017901	-6.56104466711176	0.664242837005719	27.434720986023
CML281	14.2030256472789	-14.0489437979176	-6.59165172140625	25.6410117447136
CML287	-40.7167109863066	-30.2736634903812	-7.51337718193264	2.72532802256945
CML311	35.9418997634811	-6.95508360376412	-5.68900491159192	11.8714965764614
CML314	33.7675683517727	-6.57910491465182	-0.835870855586448	23.3894910932768
CML321	-4.57470287541411	-31.4734160875875	-3.35207215297185	26.2131099417839
CML322	-57.0659524654563	-51.7923094309219	-0.451677700008693	43.7932569096772
CML323	14.997146428297	-14.9652984560617	2.3621607538573	14.4888388926003
CML328	60.9048447486916	6.1919869391587	2.43752139681758	13.8647523752974
CML331	12.6903588863313	-21.3754279040193	-13.299374508993	28.8178501066075
CML332	25.2632182641131	-15.2504360772707	-6.43029612539064	25.5432445305334
CML333	66.3635160584863	7.89660892051372	7.33237929941525	15.3763674117969
CML341	64.0818844445465	7.72148800873244	0.170318955543297	13.9387696544205
CML38	19.9810756751244	-14.0920534561986	1.20126433668746	38.3854650670665
CML45	19.931983659283	-14.0306629213916	-13.3754557529532	24.9496641693025
CML5	-8.5070557626314	-30.9654972553243	-30.1137857418953	19.0634374512913
CML52	62.8121396629813	9.70704273354942	3.98611234070039	18.8803965772276
CML61	-4.39526747157161	-26.4484258304884	0.497483740936142	29.0374185766743
CML69	-9.39918455306755	-30.0677841178631	1.21061160730395	29.4162671676473
CML77	36.4465378153062	-2.60882842974955	-8.24770968941087	4.29965458481991
CML91	31.9254312953461	-2.08361754894266	19.5971761039751	20.541637777237
CML92	-33.4303811146841	-26.6728197141316	35.5692505816717	40.0011180654401
CMV3	-23.2691295469506	-23.695482781067	-7.81042158713758	-12.5382432206356
CO106	-55.8020900589758	-48.4714303961582	-20.1205756094449	-10.0893524215752
CO125	22.0972559020793	0.0707132397657714	-6.34903485769069	-3.90472810701678
CO255	6.84707848152392	-4.66801914641213	-18.6713915883115	-4.16882097662735
CQ702RC	-10.3231646948164	-7.00335985053363	5.57165087343106	-33.7944897529243
CR14	-42.34630718774	52.1751542448883	26.3614998534398	11.6638241189744
CR1HT	-37.7333633973932	-35.8694160280463	52.3415726959049	-5.14033590740552
CS405	-85.1074489049304	26.1471212713697	-26.5494726446892	-11.2897522326826
CS608	-62.717404883735	63.0290651272968	-9.34079355148588	-7.32090148738982
D940Y	11.3817207206637	-15.6693708835909	-10.8552589382122	-14.7262206050247
DE1	-5.31105154596071	-7.08493784250346	13.3382974091581	-11.1444004870518
DE2	-11.2742127031426	-10.8343404419591	7.94295437877417	-13.3162134189724
DE811	22.5718520047331	33.4040729831359	1.84904141871335	-6.08221010926112
DJ7	-43.1068665172669	70.9871909691906	-25.7645221216621	1.80179013713486
E2558W	-25.2634659086832	-27.4648297125568	-31.4224033138724	4.30406977817394
E8501	43.7734888636408	8.73095718339831	0.356065265684663	-12.6638808294576
EP1	19.132266826371	-11.0296167049731	-20.0121344043532	-3.66928915985096
F118	-105.621219427845	9.5572237623587	-30.8969507507378	3.75164142691617
F2834T	-8.10346331094854	-23.9938559024467	-41.5141262306026	10.9675128287637
F42	-51.9715150732236	88.6815231091875	-4.34425377145067	5.08825433575208
F44	38.9318823044071	2.83234398307144	-9.65298034795875	1.73807828991231
F6	-2.1578812329646	-15.3852716838761	-23.7046981615667	4.20806235730323
F7	30.3422428260666	-2.90027029158257	-3.07522713976736	-8.89701339775316
FAPW	-6.40270962929353	37.6204143269367	6.827476414584	-11.1361746919547
FBHJ	-30.8652422855168	25.4135063970324	-4.04514843653259	-13.7317823355899
FBLA	14.8985271317326	26.0706756603604	33.9010732493786	2.45350359399262
FLORIDA32	-31.7729646943227	-32.0301973162532	-23.5296035123224	-12.5896711966067
FR19	24.0848032132581	21.1483228255983	-3.59946159283842	-11.8711776762598
G80	-3.18469516521632	19.7378706686029	32.9042410789551	-9.3433247954928
GA209	26.4307625433339	-0.447215567668975	18.2723171087119	11.8778329223942
GT112	9.81991572841559	-15.8981165036599	-4.71683435771729	8.28268064914062
H105W	-11.8664438995529	21.8536219164576	-9.70486421134411	-3.60468283303146
H49	8.81606944155957	-4.56424549475952	0.221296094491971	-6.52531733511443
H84	-25.4270115097551	5.76565737487864	7.58575812166295	-0.239159858976373
H8431	-65.2198717838072	9.29236077193931	48.8287785996986	13.2734495685211
H91	-60.4318011743219	30.4067080987494	0.903997029289088	-16.019804621842
H95	36.5103884746994	1.82536287347106	5.40281595059024	-14.272584865875
H99	-5.09243274946579	-6.22814462976354	6.99766042900134	-6.80540998980429
HB8229	-15.6432718704146	7.78526320893259	-10.2638549640766	-10.0076143657563
HBA1	-49.2848063127496	-19.3809953825463	-5.62978565383182	-12.701966455206
HI27GOODMAN-BUCKLER	38.6597720501955	6.7672326195994	-7.5366286091244	18.3593522700469
HP301	9.37914888687646	-16.7292061183727	-9.78534443529676	-3.05509309767027
ILL.HY	-10.8462161538615	4.38173984428244	-30.1547416856617	-12.8760763968265
I137TN	-6.79904219797097	-28.9578721555167	-6.08146504140513	6.82341494388087
I205	3.1895627221528	0.4622168659929	-2.5099316878688	-27.7112509925243
I29	5.00597980434647	-17.5976196146124	-13.4563815040357	-18.6586966081767
IA2132GOODMAN-BUCKLER	31.9180972050817	-0.586525843083909	-9.66904212588395	-15.8134741821058
IA5125	-41.6846207958058	-39.1838445488811	-2.03331978451571	6.42954233713977
ICI740	-105.671799015325	43.1398818981302	-29.6285953398847	-7.50971787952689
IDS28	43.5271458460996	0.320291628867288	12.8915612420594	14.4312057469598
IDS69	6.56323983260294	-13.6163575470452	-18.0402995059836	-11.1994421771544
IDS91	-24.1370797799937	-32.089980627125	-20.79921677253	-11.8877229155302
IL101T	13.8820429625714	-10.2152456285792	8.47607505824619	-7.83276635674808
IL14H	-44.081541764459	-39.7179534293478	-14.8440703545828	-12.8098971724889
IL677A	69.6875144517118	13.0125198055047	10.8924184425284	-4.36120887883403
K148	8.03397229854836	-13.7763816515843	-12.2551495191759	1.65861361463881
K4	19.357098444179	-5.3486959466008	-3.52258142933744	-25.8831043864229
K55	10.550577666653	16.4760924740047	-18.1650221630151	-4.78567034477088
K64	56.3287719585244	10.8430139288804	-2.16881029649464	5.09253961377034
KI11	37.6354512634377	-0.000871102292234258	-6.93879630795605	15.5073827518556
KI14	54.9298581716142	4.02397639835474	-8.04671689562147	13.1608094932513
